ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Profit,Prior_purchases,Product_importance,Order_date,Ship_Date,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Product Category,Product sub Category
10148,F,Flight,6,2,282,14.1,4,medium,31-01-2022,04-02-2022,F,9,1385,0,Technology,Telephones and Communications
10149,A,Flight,5,3,243,12.15,6,medium,30-01-2020,06-02-2020,F,10,1189,1,Technology,Telephones and Communications
10150,B,Flight,5,1,243,12.15,5,medium,01-12-2020,07-12-2020,M,8,1732,0,Technology,Telephones and Communications
10151,C,Flight,4,5,228,11.4,5,low,06-10-2023,10-10-2023,M,2,1996,0,Office Supplies,Telephones and Communications
10152,F,Flight,5,4,235,11.75,5,low,03-03-2022,07-03-2022,F,8,1549,0,Office Supplies,Telephones and Communications
10153,D,Flight,4,1,274,13.7,6,low,08-01-2020,14-01-2020,M,8,1141,1,Office Supplies,Telephones and Communications
10154,F,Flight,6,3,254,12.7,5,medium,11-05-2020,18-05-2020,F,7,1615,1,Technology,Telephones and Communications
10155,A,Flight,4,4,237,11.85,5,medium,07-09-2021,16-09-2021,F,6,4586,0,Technology,Telephones and Communications
10156,B,Ship,4,4,170,8.5,3,medium,29-03-2020,08-04-2020,M,4,4062,0,Technology,Telephones and Communications
10157,C,Ship,4,4,243,12.15,3,high,17-06-2023,19-06-2023,F,4,5082,1,Technology,Telephones and Communications
10158,F,Ship,4,5,163,8.15,3,medium,25-09-2021,04-10-2021,M,1,4049,1,Technology,Telephones and Communications
10159,D,Ship,3,3,257,12.85,3,low,14-01-2021,22-01-2021,M,5,4937,1,Office Supplies,Telephones and Communications
10160,F,Ship,5,3,179,8.95,6,medium,16-06-2020,25-06-2020,M,1,4930,1,Technology,Telephones and Communications
10161,A,Ship,3,1,274,13.7,4,medium,26-05-2021,01-06-2021,M,4,4057,0,Technology,Telephones and Communications
10162,B,Ship,3,4,174,8.7,2,low,26-12-2023,05-01-2024,M,7,4596,0,Office Supplies,Telephones and Communications
10163,C,Ship,4,1,162,8.1,6,low,09-12-2022,16-12-2022,M,1,5525,1,Office Supplies,Telephones and Communications
10164,F,Ship,6,1,269,13.45,6,medium,23-06-2020,29-06-2020,F,2,5363,0,Technology,Telephones and Communications
10165,D,Ship,4,3,147,7.35,2,low,29-01-2021,07-02-2021,M,2,5431,0,Office Supplies,Telephones and Communications
10166,F,Ship,6,5,286,14.3,4,medium,04-11-2023,10-11-2023,F,4,4889,0,Technology,Telephones and Communications
10167,A,Ship,2,5,271,13.55,3,low,07-12-2020,17-12-2020,M,9,4185,0,Office Supplies,Telephones and Communications
10168,B,Ship,5,1,130,6.5,4,high,25-01-2020,29-01-2020,F,9,4946,1,Technology,Telephones and Communications
10169,C,Ship,4,4,258,12.9,2,medium,18-08-2022,25-08-2022,F,5,4562,0,Technology,Telephones and Communications
10170,F,Ship,5,5,151,7.55,3,medium,24-03-2021,02-04-2021,M,2,5506,0,Technology,Telephones and Communications
10171,D,Ship,5,2,208,10.4,8,medium,04-06-2023,13-06-2023,M,5,4751,0,Technology,Telephones and Communications
10172,F,Ship,6,2,137,6.85,10,low,05-03-2021,15-03-2021,F,4,4490,0,Office Supplies,Telephones and Communications
10173,A,Ship,3,2,250,12.5,3,medium,16-04-2022,24-04-2022,M,6,4636,0,Technology,Telephones and Communications
10174,B,Ship,4,3,211,10.55,2,low,27-10-2022,02-11-2022,F,6,5473,1,Office Supplies,Telephones and Communications
10175,C,Ship,4,4,196,9.8,3,medium,02-10-2021,11-10-2021,F,2,4320,1,Technology,Telephones and Communications
10176,F,Ship,3,2,174,8.7,3,low,05-10-2020,15-10-2020,F,3,5207,1,Office Supplies,Telephones and Communications
10177,D,Ship,6,3,277,13.85,4,medium,11-06-2021,13-06-2021,F,6,1433,0,Technology,Telephones and Communications
10178,F,Ship,6,3,284,14.2,4,low,15-06-2023,18-06-2023,F,3,1291,0,Office Supplies,Telephones and Communications
10179,A,Ship,4,4,258,12.9,5,low,16-12-2023,21-12-2023,M,9,1947,1,Office Supplies,Telephones and Communications
10180,B,Ship,7,2,254,12.7,4,low,22-05-2022,30-05-2022,M,6,1006,0,Office Supplies,Telephones and Communications
10181,C,Ship,5,5,263,13.15,5,medium,23-03-2022,30-03-2022,M,2,1417,0,Technology,Telephones and Communications
10182,F,Ship,6,1,267,13.35,4,low,01-05-2023,08-05-2023,M,9,1146,1,Office Supplies,Telephones and Communications
10183,D,Ship,6,2,247,12.35,4,medium,02-07-2020,07-07-2020,M,3,1118,0,Technology,Telephones and Communications
10184,F,Ship,5,3,233,11.65,5,medium,19-09-2020,22-09-2020,F,3,1398,0,Technology,Telephones and Communications
10185,A,Ship,7,5,254,12.7,4,medium,10-11-2022,18-11-2022,F,1,1347,0,Technology,Telephones and Communications
10186,B,Ship,6,2,289,14.45,5,medium,30-04-2021,02-05-2021,F,10,1607,1,Technology,Telephones and Communications
10187,C,Ship,6,3,282,14.1,4,medium,21-01-2023,26-01-2023,F,8,1375,0,Technology,Telephones and Communications
10188,F,Ship,5,2,243,12.15,6,medium,06-10-2022,15-10-2022,M,7,1752,0,Technology,Telephones and Communications
10189,D,Ship,5,4,243,12.15,5,medium,24-10-2023,01-11-2023,F,4,1813,0,Technology,Telephones and Communications
10190,F,Ship,4,1,228,11.4,5,low,05-04-2020,09-04-2020,F,6,1874,0,Office Supplies,Telephones and Communications
10191,A,Ship,5,5,235,11.75,5,low,11-12-2022,15-12-2022,M,8,1332,1,Office Supplies,Telephones and Communications
10192,B,Ship,7,3,306,15.3,4,low,23-04-2023,03-05-2023,F,4,1630,0,Office Supplies,Telephones and Communications
10193,C,Ship,6,1,189,9.45,2,low,10-03-2021,20-03-2021,F,6,1269,0,Office Supplies,Telephones and Communications
10194,F,Ship,6,4,280,14,4,low,16-02-2020,19-02-2020,M,4,1831,1,Office Supplies,Telephones and Communications
10195,D,Ship,6,4,310,15.5,4,medium,10-09-2020,20-09-2020,M,1,1494,1,Technology,Telephones and Communications
10196,F,Ship,4,3,264,13.2,6,medium,02-11-2023,05-11-2023,F,10,1962,1,Technology,Telephones and Communications
10197,A,Ship,5,5,243,12.15,6,low,02-03-2021,08-03-2021,M,9,1348,0,Office Supplies,Telephones and Communications
10198,B,Ship,5,5,245,12.25,5,low,18-05-2022,28-05-2022,M,5,1252,0,Office Supplies,Telephones and Communications
10199,C,Ship,5,5,239,11.95,6,low,23-12-2022,25-12-2022,M,1,1384,0,Office Supplies,Telephones and Communications
10200,F,Ship,4,3,248,12.4,5,low,26-05-2021,01-06-2021,F,7,1789,1,Office Supplies,Telephones and Communications
10201,D,Ship,6,1,268,13.4,4,low,22-04-2023,01-05-2023,F,1,1654,1,Office Supplies,Telephones and Communications
10202,F,Ship,6,4,271,13.55,4,low,19-10-2021,24-10-2021,F,6,1503,0,Office Supplies,Telephones and Communications
10203,A,Ship,4,5,233,11.65,5,low,08-09-2022,10-09-2022,F,8,1040,1,Office Supplies,Telephones and Communications
10204,B,Ship,5,1,245,12.25,5,low,15-09-2022,17-09-2022,M,9,1694,1,Office Supplies,Telephones and Communications
10205,C,Ship,5,2,248,12.4,5,medium,01-09-2020,04-09-2020,F,1,1845,1,Technology,Telephones and Communications
10206,F,Ship,5,2,234,11.7,5,medium,26-11-2020,01-12-2020,M,6,1703,0,Technology,Telephones and Communications
10207,D,Ship,4,2,259,12.95,5,medium,28-12-2020,06-01-2021,F,2,1054,0,Technology,Telephones and Communications
10208,F,Ship,5,1,259,12.95,6,low,27-04-2021,29-04-2021,F,2,1876,0,Office Supplies,Telephones and Communications
10209,A,Ship,5,2,263,13.15,6,low,23-08-2022,28-08-2022,M,2,1851,0,Office Supplies,Telephones and Communications
10210,B,Ship,3,1,158,7.9,5,low,14-10-2021,21-10-2021,M,4,1171,1,Office Supplies,Telephones and Communications
10211,C,Ship,5,5,270,13.5,5,low,27-08-2023,01-09-2023,M,5,1852,1,Office Supplies,Telephones and Communications
10212,F,Ship,4,3,271,13.55,5,low,03-09-2023,12-09-2023,M,6,1555,1,Office Supplies,Telephones and Communications
10213,D,Ship,5,5,237,11.85,5,medium,01-04-2021,07-04-2021,F,9,1709,0,Technology,Telephones and Communications
10214,F,Ship,6,1,250,12.5,4,medium,13-01-2023,22-01-2023,M,5,1747,0,Technology,Telephones and Communications
10215,A,Ship,4,2,270,13.5,5,low,17-06-2020,20-06-2020,F,10,1340,0,Office Supplies,Telephones and Communications
10216,B,Ship,4,5,242,12.1,6,low,19-01-2021,24-01-2021,F,9,1858,0,Office Supplies,Telephones and Communications
10217,C,Ship,5,1,271,13.55,5,low,28-09-2023,06-10-2023,F,4,1557,1,Office Supplies,Telephones and Communications
10218,F,Ship,4,3,254,12.7,5,low,08-02-2023,10-02-2023,F,8,1851,0,Office Supplies,Telephones and Communications
10219,D,Ship,5,3,274,13.7,5,medium,20-05-2021,27-05-2021,M,7,1696,1,Technology,Telephones and Communications
10220,F,Ship,4,3,249,12.45,5,low,02-04-2021,04-04-2021,F,10,1067,1,Office Supplies,Telephones and Communications
10221,A,Ship,4,3,245,12.25,5,low,18-09-2023,28-09-2023,M,7,1182,0,Office Supplies,Telephones and Communications
10222,B,Ship,4,5,237,11.85,5,low,13-12-2020,19-12-2020,F,9,1978,1,Office Supplies,Telephones and Communications
10223,C,Ship,4,3,238,11.9,6,low,26-01-2022,31-01-2022,M,2,1898,0,Office Supplies,Telephones and Communications
10224,F,Ship,5,3,242,12.1,5,low,12-07-2021,22-07-2021,F,6,1681,0,Office Supplies,Telephones and Communications
10225,D,Ship,5,5,217,10.85,6,medium,26-05-2020,02-06-2020,M,1,1761,0,Technology,Telephones and Communications
10226,F,Ship,4,2,242,12.1,6,low,19-06-2020,28-06-2020,F,10,1531,1,Office Supplies,Telephones and Communications
10227,A,Ship,6,1,265,13.25,4,low,30-12-2021,04-01-2022,F,1,1345,1,Office Supplies,Telephones and Communications
10228,B,Ship,3,4,267,13.35,3,low,11-03-2021,17-03-2021,F,3,4566,0,Office Supplies,Telephones and Communications
10229,C,Ship,3,1,238,11.9,2,low,23-07-2022,02-08-2022,M,9,5158,0,Office Supplies,Telephones and Communications
10230,F,Ship,5,3,284,14.2,5,medium,18-03-2020,26-03-2020,F,4,5343,1,Technology,Telephones and Communications
10231,D,Ship,4,3,137,6.85,3,medium,14-10-2021,18-10-2021,M,5,4854,1,Technology,Telephones and Communications
10232,F,Ship,2,1,232,11.6,6,low,26-08-2021,02-09-2021,F,2,5281,1,Office Supplies,Telephones and Communications
10233,A,Ship,3,3,262,13.1,2,low,25-01-2022,29-01-2022,F,10,5951,1,Office Supplies,Telephones and Communications
10234,B,Ship,5,1,158,7.9,2,medium,13-05-2022,23-05-2022,M,6,4873,0,Technology,Telephones and Communications
10235,C,Ship,5,5,226,11.3,4,low,29-07-2022,01-08-2022,F,10,5676,1,Office Supplies,Telephones and Communications
10236,F,Ship,4,3,199,9.95,2,low,25-07-2021,30-07-2021,M,4,5855,0,Office Supplies,Telephones and Communications
10237,D,Ship,4,4,175,8.75,2,medium,02-09-2022,08-09-2022,F,10,4927,0,Technology,Telephones and Communications
10238,F,Ship,5,1,233,11.65,3,low,08-07-2020,15-07-2020,F,9,5039,0,Office Supplies,Telephones and Communications
10239,A,Ship,2,5,111,5.55,2,low,14-02-2022,16-02-2022,F,5,4038,1,Office Supplies,Telephones and Communications
10240,B,Ship,5,2,218,10.9,3,low,29-08-2021,31-08-2021,M,4,5363,1,Office Supplies,Telephones and Communications
10241,C,Ship,5,1,189,9.45,4,low,03-07-2023,09-07-2023,F,10,4166,1,Office Supplies,Telephones and Communications
10242,F,Ship,4,3,257,12.85,3,low,16-05-2021,23-05-2021,M,8,5944,0,Office Supplies,Telephones and Communications
10243,D,Ship,4,2,160,8,3,low,28-11-2022,04-12-2022,M,5,4492,0,Office Supplies,Telephones and Communications
10244,F,Ship,3,3,197,9.85,3,low,12-07-2022,21-07-2022,F,4,4858,1,Office Supplies,Telephones and Communications
10245,A,Ship,3,5,283,14.15,2,low,06-05-2021,09-05-2021,M,2,4207,0,Office Supplies,Telephones and Communications
10246,B,Ship,5,5,197,9.85,4,low,13-06-2020,17-06-2020,F,7,4141,1,Office Supplies,Telephones and Communications
10247,C,Ship,3,1,259,12.95,4,low,02-03-2020,12-03-2020,F,9,4084,1,Office Supplies,Telephones and Communications
10248,F,Ship,4,3,195,9.75,3,medium,22-09-2023,29-09-2023,M,5,5863,0,Technology,Telephones and Communications
10249,D,Road,3,1,159,7.95,2,medium,27-01-2023,31-01-2023,M,5,4906,1,Technology,Telephones and Communications
10250,F,Road,3,1,267,13.35,3,medium,13-05-2022,18-05-2022,F,8,5415,1,Technology,Telephones and Communications
10251,A,Road,5,2,155,7.75,3,low,30-03-2022,01-04-2022,F,10,4485,1,Office Supplies,Telephones and Communications
10252,B,Road,3,1,267,13.35,2,low,19-11-2022,22-11-2022,F,9,5744,0,Office Supplies,Telephones and Communications
10253,C,Road,4,1,239,11.95,3,medium,26-08-2023,29-08-2023,F,9,4930,1,Technology,Telephones and Communications
10254,F,Road,3,1,263,13.15,3,high,20-08-2021,27-08-2021,M,10,4911,0,Technology,Telephones and Communications
10255,D,Road,3,5,217,10.85,3,medium,11-07-2021,20-07-2021,M,3,5433,0,Technology,Telephones and Communications
10256,F,Road,4,3,173,8.65,3,low,30-01-2021,05-02-2021,M,4,4793,1,Office Supplies,Telephones and Communications
10257,A,Road,2,2,163,8.15,3,low,16-11-2020,18-11-2020,M,5,5887,0,Office Supplies,Telephones and Communications
10258,B,Road,5,5,232,11.6,5,low,01-07-2023,11-07-2023,F,2,5561,0,Office Supplies,Telephones and Communications
10259,C,Road,3,3,155,7.75,3,medium,24-07-2022,27-07-2022,M,5,4957,1,Technology,Telephones and Communications
10260,F,Road,3,4,160,8,4,low,25-12-2023,29-12-2023,M,1,5341,0,Office Supplies,Telephones and Communications
10261,D,Road,5,4,200,10,3,medium,29-06-2023,05-07-2023,M,3,4225,0,Technology,Telephones and Communications
10262,F,Road,4,1,160,8,2,medium,07-05-2023,09-05-2023,M,1,5741,1,Technology,Telephones and Communications
10263,A,Road,3,3,220,11,3,low,07-02-2021,12-02-2021,M,7,5323,1,Office Supplies,Telephones and Communications
10264,B,Road,3,3,160,8,2,medium,22-12-2022,30-12-2022,F,3,4665,0,Technology,Telephones and Communications
10265,C,Road,3,4,136,6.8,3,low,12-05-2021,20-05-2021,F,4,5368,0,Office Supplies,Telephones and Communications
10266,F,Road,5,1,252,12.6,3,high,21-11-2023,26-11-2023,F,2,5032,0,Technology,Telephones and Communications
10267,D,Road,3,4,138,6.9,5,medium,07-06-2021,11-06-2021,F,5,5690,0,Technology,Telephones and Communications
10268,F,Road,4,4,173,8.65,3,low,11-04-2020,13-04-2020,M,10,4616,0,Office Supplies,Telephones and Communications
10269,A,Road,4,5,198,9.9,3,low,11-01-2021,18-01-2021,M,2,4272,0,Office Supplies,Telephones and Communications
10270,B,Road,4,1,194,9.7,2,medium,03-10-2020,08-10-2020,F,3,5503,0,Technology,Telephones and Communications
10271,C,Flight,4,5,157,7.85,3,medium,06-01-2021,12-01-2021,M,10,5898,1,Technology,Telephones and Communications
10272,F,Flight,3,3,220,11,3,low,01-09-2021,08-09-2021,F,2,5065,1,Office Supplies,Telephones and Communications
10273,D,Flight,4,4,160,8,3,medium,19-08-2021,29-08-2021,M,5,4440,0,Technology,Telephones and Communications
10274,F,Flight,3,4,214,10.7,2,low,22-12-2020,28-12-2020,M,7,5256,1,Office Supplies,Telephones and Communications
10275,A,Flight,5,5,213,10.65,3,medium,02-07-2020,09-07-2020,M,5,5247,0,Technology,Telephones and Communications
10276,B,Flight,3,5,146,7.3,3,medium,24-04-2023,27-04-2023,M,8,5637,1,Technology,Telephones and Communications
10277,C,Flight,4,3,176,8.8,5,low,08-10-2021,14-10-2021,M,2,5751,1,Office Supplies,Telephones and Communications
10278,F,Flight,3,2,219,10.95,4,low,02-12-2021,08-12-2021,F,6,4314,1,Office Supplies,Telephones and Communications
10279,D,Flight,4,3,164,8.2,3,medium,03-06-2020,13-06-2020,F,4,4495,0,Technology,Telephones and Communications
10280,F,Flight,3,4,168,8.4,2,medium,07-11-2021,14-11-2021,F,7,4699,1,Technology,Telephones and Communications
10281,A,Flight,5,3,167,8.35,3,low,22-08-2023,31-08-2023,M,9,5026,0,Office Supplies,Telephones and Communications
10282,B,Flight,3,2,152,7.6,3,medium,01-07-2022,05-07-2022,F,7,4244,0,Technology,Telephones and Communications
10283,C,Flight,5,4,248,12.4,3,low,07-05-2023,10-05-2023,M,7,5335,1,Office Supplies,Telephones and Communications
10284,F,Flight,3,5,177,8.85,2,low,05-07-2020,09-07-2020,F,2,4906,1,Office Supplies,Telephones and Communications
10285,D,Flight,4,4,148,7.4,3,low,01-03-2021,07-03-2021,M,4,5716,1,Office Supplies,Telephones and Communications
10286,F,Flight,4,2,107,5.35,2,low,06-08-2023,15-08-2023,F,8,4460,0,Office Supplies,Telephones and Communications
10287,A,Flight,6,2,196,9.8,2,low,23-10-2020,27-10-2020,M,10,5180,1,Office Supplies,Telephones and Communications
10288,B,Flight,3,3,215,10.75,2,low,25-10-2020,27-10-2020,F,2,5661,0,Office Supplies,Telephones and Communications
10289,C,Flight,4,5,260,13,3,low,29-01-2021,08-02-2021,M,10,4331,0,Office Supplies,Telephones and Communications
10290,F,Flight,5,5,156,7.8,2,low,23-03-2021,29-03-2021,F,8,4817,0,Office Supplies,Telephones and Communications
10291,D,Flight,4,1,266,13.3,2,high,11-11-2022,18-11-2022,M,4,5116,0,Technology,Telephones and Communications
10292,F,Flight,4,1,146,7.3,3,low,18-05-2021,26-05-2021,F,1,4831,1,Office Supplies,Telephones and Communications
10293,A,Ship,4,2,210,10.5,3,medium,26-10-2021,01-11-2021,F,10,5354,0,Technology,Telephones and Communications
10294,B,Ship,2,4,144,7.2,2,medium,30-07-2020,09-08-2020,M,5,5867,0,Technology,Telephones and Communications
10295,C,Ship,3,5,181,9.05,4,low,11-06-2022,19-06-2022,F,1,5812,0,Office Supplies,Telephones and Communications
10296,F,Ship,5,5,132,6.6,4,low,08-05-2021,15-05-2021,F,8,4339,1,Office Supplies,Telephones and Communications
10297,D,Ship,5,3,243,12.15,6,medium,24-06-2023,04-07-2023,F,9,5640,0,Technology,Telephones and Communications
10298,F,Ship,4,3,166,8.3,4,medium,23-07-2021,01-08-2021,F,1,4536,0,Technology,Telephones and Communications
10299,A,Ship,5,5,148,7.4,4,medium,27-07-2023,31-07-2023,F,4,5909,0,Technology,Telephones and Communications
10300,B,Ship,6,4,221,11.05,5,low,26-11-2022,06-12-2022,M,9,4360,0,Office Supplies,Telephones and Communications
10301,C,Ship,4,2,207,10.35,3,medium,30-08-2023,03-09-2023,F,5,4702,1,Technology,Telephones and Communications
10302,F,Ship,4,1,228,11.4,3,medium,22-02-2022,24-02-2022,M,4,5347,1,Technology,Telephones and Communications
10303,D,Ship,3,2,161,8.05,3,medium,20-12-2023,22-12-2023,M,2,4174,1,Technology,Telephones and Communications
10304,F,Ship,4,2,259,12.95,2,high,24-09-2022,29-09-2022,F,10,5265,0,Technology,Telephones and Communications
10305,A,Ship,4,5,272,13.6,2,low,05-04-2022,10-04-2022,F,10,4962,0,Office Supplies,Telephones and Communications
10306,B,Ship,4,4,154,7.7,3,low,01-09-2021,03-09-2021,M,4,5393,1,Office Supplies,Telephones and Communications
10307,C,Ship,4,2,174,8.7,3,low,12-11-2021,16-11-2021,M,4,5625,0,Office Supplies,Telephones and Communications
10308,F,Ship,4,2,225,11.25,2,medium,27-05-2023,01-06-2023,F,5,5943,0,Technology,Telephones and Communications
10309,D,Ship,3,5,209,10.45,3,medium,04-04-2023,08-04-2023,M,8,5591,0,Technology,Telephones and Communications
10310,F,Ship,6,1,208,10.4,5,low,30-05-2021,04-06-2021,M,6,4537,0,Office Supplies,Telephones and Communications
10311,A,Ship,4,4,163,8.15,3,low,17-12-2022,22-12-2022,M,8,4921,1,Office Supplies,Telephones and Communications
10312,B,Ship,3,5,174,8.7,3,low,13-06-2020,22-06-2020,M,7,5672,1,Office Supplies,Telephones and Communications
10313,C,Ship,3,5,236,11.8,3,medium,05-04-2021,10-04-2021,F,1,5220,0,Technology,Telephones and Communications
10314,F,Ship,3,2,229,11.45,6,medium,26-12-2023,03-01-2024,F,3,5689,1,Technology,Telephones and Communications
10315,D,Ship,3,4,195,9.75,2,low,21-08-2020,31-08-2020,F,5,4660,1,Office Supplies,Telephones and Communications
10316,F,Ship,4,2,146,7.3,3,low,16-01-2022,22-01-2022,F,9,5871,1,Office Supplies,Telephones and Communications
10317,A,Ship,3,2,211,10.55,2,low,12-03-2021,19-03-2021,M,4,4978,1,Office Supplies,Telephones and Communications
10318,B,Ship,2,2,161,8.05,3,low,19-08-2022,21-08-2022,F,5,5999,1,Office Supplies,Telephones and Communications
10319,C,Ship,2,5,243,12.15,3,medium,31-10-2023,04-11-2023,F,9,4182,0,Technology,Telephones and Communications
10320,F,Ship,3,3,169,8.45,2,medium,14-01-2023,19-01-2023,F,8,4281,1,Technology,Telephones and Communications
10321,D,Ship,3,4,273,13.65,3,high,22-09-2023,24-09-2023,F,8,4530,1,Technology,Telephones and Communications
10322,F,Ship,4,2,137,6.85,2,medium,31-05-2022,05-06-2022,M,3,4622,1,Technology,Telephones and Communications
10323,A,Ship,2,1,96,4.8,2,high,27-10-2023,03-11-2023,F,9,4449,1,Technology,Telephones and Communications
10324,B,Ship,5,5,177,8.85,4,medium,21-03-2023,26-03-2023,F,2,4873,0,Technology,Telephones and Communications
10325,C,Ship,4,1,269,13.45,3,low,03-08-2023,07-08-2023,F,7,5211,1,Office Supplies,Telephones and Communications
10326,F,Ship,3,2,188,9.4,5,medium,19-04-2023,28-04-2023,M,7,5673,0,Technology,Telephones and Communications
10327,D,Ship,4,1,238,11.9,3,low,09-02-2023,12-02-2023,F,10,4172,0,Office Supplies,Telephones and Communications
10328,F,Ship,5,2,172,8.6,5,medium,18-12-2021,28-12-2021,F,5,4805,0,Technology,Telephones and Communications
10329,A,Ship,4,4,134,6.7,5,medium,06-01-2020,09-01-2020,M,2,5865,1,Technology,Telephones and Communications
10330,B,Ship,4,2,191,9.55,2,medium,23-12-2022,01-01-2023,F,8,4806,1,Technology,Telephones and Communications
10331,C,Ship,5,3,210,10.5,6,low,04-10-2023,11-10-2023,M,6,4203,1,Office Supplies,Telephones and Communications
10332,F,Ship,4,5,161,8.05,3,medium,20-08-2021,24-08-2021,F,2,5378,0,Technology,Telephones and Communications
10333,D,Ship,5,4,161,8.05,5,medium,30-10-2023,04-11-2023,M,1,5779,1,Technology,Telephones and Communications
10334,F,Ship,4,1,166,8.3,5,low,26-12-2022,05-01-2023,F,9,4472,0,Office Supplies,Telephones and Communications
10335,A,Ship,4,3,170,8.5,4,medium,03-08-2023,11-08-2023,F,9,4375,0,Technology,Telephones and Communications
10336,B,Ship,3,1,251,12.55,3,medium,28-11-2022,08-12-2022,F,4,5291,0,Technology,Telephones and Communications
10337,C,Ship,3,3,214,10.7,3,medium,28-12-2022,03-01-2023,M,3,4056,1,Technology,Telephones and Communications
10338,F,Ship,4,3,197,9.85,3,medium,06-08-2021,10-08-2021,F,6,5395,0,Technology,Telephones and Communications
10339,D,Ship,3,3,227,11.35,2,high,05-04-2020,10-04-2020,M,5,4269,1,Technology,Telephones and Communications
10340,F,Ship,4,5,265,13.25,2,low,20-08-2023,29-08-2023,F,6,4660,1,Office Supplies,Telephones and Communications
10341,A,Ship,6,5,287,14.35,5,low,02-02-2020,06-02-2020,M,2,5611,1,Office Supplies,Telephones and Communications
10342,B,Ship,3,5,206,10.3,2,low,10-06-2022,12-06-2022,M,3,5113,1,Office Supplies,Telephones and Communications
10343,C,Ship,4,2,192,9.6,3,low,07-02-2021,09-02-2021,F,4,5578,1,Office Supplies,Telephones and Communications
10344,F,Ship,2,1,109,5.45,4,low,09-12-2023,19-12-2023,F,3,5264,1,Office Supplies,Telephones and Communications
10345,D,Ship,4,3,180,9,2,medium,20-10-2020,29-10-2020,M,7,5546,1,Technology,Telephones and Communications
10346,F,Ship,3,2,224,11.2,3,medium,10-10-2022,20-10-2022,M,2,4015,0,Technology,Telephones and Communications
10347,A,Ship,3,2,259,12.95,6,medium,05-02-2022,11-02-2022,M,1,5873,0,Technology,Telephones and Communications
10348,B,Ship,3,4,269,13.45,3,medium,23-03-2021,28-03-2021,M,8,5364,1,Technology,Telephones and Communications
10349,C,Ship,5,4,187,9.35,4,medium,02-04-2020,10-04-2020,F,1,4147,0,Technology,Telephones and Communications
10350,F,Ship,4,4,185,9.25,3,low,05-02-2021,13-02-2021,F,2,5288,1,Office Supplies,Telephones and Communications
10351,D,Ship,5,2,241,12.05,2,medium,29-03-2020,07-04-2020,F,2,5448,0,Technology,Telephones and Communications
10352,F,Ship,2,5,228,11.4,3,low,23-07-2021,27-07-2021,M,8,5643,1,Office Supplies,Telephones and Communications
10353,A,Ship,3,2,214,10.7,2,medium,08-01-2020,14-01-2020,F,9,4512,0,Technology,Telephones and Communications
10354,B,Ship,3,2,196,9.8,6,low,24-08-2023,27-08-2023,M,6,5414,0,Office Supplies,Telephones and Communications
10355,C,Ship,3,1,175,8.75,3,low,14-03-2020,21-03-2020,M,6,4695,0,Office Supplies,Telephones and Communications
10356,F,Ship,3,5,171,8.55,3,medium,18-11-2023,28-11-2023,F,7,5318,1,Technology,Telephones and Communications
10357,D,Ship,4,2,185,9.25,2,medium,01-08-2023,07-08-2023,M,5,4066,0,Technology,Telephones and Communications
10358,F,Ship,2,4,226,11.3,3,low,08-05-2022,18-05-2022,M,9,4098,1,Office Supplies,Telephones and Communications
10359,A,Ship,4,1,265,13.25,3,low,09-01-2021,15-01-2021,F,4,4249,0,Office Supplies,Telephones and Communications
10360,B,Ship,4,4,205,10.25,4,medium,12-10-2023,19-10-2023,F,2,4690,1,Technology,Telephones and Communications
10361,C,Ship,4,3,189,9.45,3,medium,17-10-2020,25-10-2020,F,9,4825,0,Technology,Telephones and Communications
10362,F,Ship,3,4,141,7.05,3,medium,30-01-2020,06-02-2020,M,2,5512,0,Technology,Telephones and Communications
10363,D,Ship,3,3,217,10.85,3,low,17-04-2022,25-04-2022,F,6,4887,0,Office Supplies,Telephones and Communications
10364,F,Ship,4,2,198,9.9,3,low,19-08-2022,21-08-2022,F,4,5863,0,Office Supplies,Telephones and Communications
10365,A,Ship,4,4,246,12.3,3,medium,28-07-2022,03-08-2022,F,2,4150,0,Technology,Telephones and Communications
10366,B,Ship,3,4,261,13.05,4,medium,17-03-2023,22-03-2023,F,7,5731,0,Technology,Telephones and Communications
10367,C,Ship,4,3,160,8,2,low,13-11-2020,20-11-2020,M,9,5940,0,Office Supplies,Telephones and Communications
10368,F,Ship,5,5,135,6.75,3,low,17-08-2020,24-08-2020,F,4,5734,0,Office Supplies,Telephones and Communications
10369,D,Ship,5,2,213,10.65,3,low,13-08-2020,19-08-2020,M,9,5526,0,Office Supplies,Telephones and Communications
10370,F,Ship,3,4,189,9.45,6,low,10-10-2022,16-10-2022,F,9,4668,1,Office Supplies,Telephones and Communications
10371,A,Ship,4,1,259,12.95,3,low,02-12-2023,12-12-2023,M,9,5148,1,Office Supplies,Telephones and Communications
10372,B,Ship,4,5,170,8.5,3,low,07-06-2023,13-06-2023,M,2,5671,0,Office Supplies,Telephones and Communications
10373,C,Ship,3,3,257,12.85,2,medium,04-09-2021,14-09-2021,M,5,4681,1,Technology,Telephones and Communications
10374,F,Ship,3,5,143,7.15,2,low,10-05-2021,20-05-2021,M,8,4754,1,Office Supplies,Telephones and Communications
10375,D,Ship,4,1,258,12.9,3,low,13-03-2021,18-03-2021,F,10,4906,0,Office Supplies,Telephones and Communications
